route,tree,section,has_v2_counterpart,notes
/,default,root,no,site root
/apps/low-level,default,apps,no,default-only docs
/apps/overview,default,apps,no,default-only docs
/changelog,default,meta,yes,top-level docs page
/clients/auth/bearer,default,clients,yes,docs
/clients/auth/cimd,default,clients,no,default-only docs
/clients/auth/oauth,default,clients,yes,docs
/clients/cli,default,clients,no,default-only docs
/clients/client,default,clients,yes,docs
/clients/elicitation,default,clients,yes,docs
/clients/generate-cli,default,clients,no,default-only docs
/clients/logging,default,clients,yes,docs
/clients/messages,default,clients,yes,docs
/clients/notifications,default,clients,no,default-only docs
/clients/progress,default,clients,yes,docs
/clients/prompts,default,clients,yes,docs
/clients/resources,default,clients,yes,docs
/clients/roots,default,clients,yes,docs
/clients/sampling,default,clients,yes,docs
/clients/tasks,default,clients,yes,docs
/clients/tools,default,clients,yes,docs
/clients/transports,default,clients,yes,docs
/deployment/fastmcp-cloud,default,deployment,yes,docs
/deployment/http,default,deployment,yes,docs
/deployment/prefect-horizon,default,deployment,no,default-only docs
/deployment/running-server,default,deployment,yes,docs
/deployment/server-configuration,default,deployment,yes,docs
/development/contributing,default,development,yes,docs
/development/releases,default,development,yes,docs
/development/tests,default,development,yes,docs
/development/upgrade-guide,default,development,yes,docs
/getting-started/installation,default,getting-started,yes,docs
/getting-started/low-level-sdk,default,getting-started,no,default-only docs
/getting-started/quickstart,default,getting-started,yes,docs
/getting-started/upgrading-from-sdk,default,getting-started,no,default-only docs
/getting-started/upgrading/from-fastmcp-2,default,getting-started,no,default-only docs
/getting-started/upgrading/from-low-level-sdk,default,getting-started,no,default-only docs
/getting-started/upgrading/from-mcp-sdk,default,getting-started,no,default-only docs
/getting-started/welcome,default,getting-started,yes,docs
/integrations/anthropic,default,integrations,yes,docs
/integrations/auth0,default,integrations,yes,docs
/integrations/authkit,default,integrations,yes,docs
/integrations/aws-cognito,default,integrations,yes,docs
/integrations/azure,default,integrations,yes,docs
/integrations/chatgpt,default,integrations,yes,docs
/integrations/claude-code,default,integrations,yes,docs
/integrations/claude-desktop,default,integrations,yes,docs
/integrations/cursor,default,integrations,yes,docs
/integrations/descope,default,integrations,yes,docs
/integrations/discord,default,integrations,yes,docs
/integrations/eunomia-authorization,default,integrations,yes,docs
/integrations/fastapi,default,integrations,yes,docs
/integrations/gemini,default,integrations,yes,docs
/integrations/gemini-cli,default,integrations,yes,docs
/integrations/github,default,integrations,yes,docs
/integrations/google,default,integrations,yes,docs
/integrations/goose,default,integrations,no,default-only docs
/integrations/mcp-json-configuration,default,integrations,yes,docs
/integrations/oci,default,integrations,yes,docs
/integrations/openai,default,integrations,yes,docs
/integrations/openapi,default,integrations,yes,docs
/integrations/permit,default,integrations,yes,docs
/integrations/scalekit,default,integrations,yes,docs
/integrations/supabase,default,integrations,yes,docs
/integrations/workos,default,integrations,yes,docs
/llms-full.txt,default,meta,no,metadata file
/llms.txt,default,meta,no,metadata file
/patterns/cli,default,patterns,yes,docs
/patterns/composition,default,patterns,no,default-only docs
/patterns/contrib,default,patterns,yes,docs
/patterns/decorating-methods,default,patterns,yes,docs
/patterns/proxy,default,patterns,no,default-only docs
/patterns/testing,default,patterns,yes,docs
/patterns/tool-transformation,default,patterns,yes,docs
/python-sdk/fastmcp-cli-__init__,python-sdk,python-sdk,n/a,API reference page
/python-sdk/fastmcp-cli-auth,python-sdk,python-sdk,n/a,API reference page
/python-sdk/fastmcp-cli-cimd,python-sdk,python-sdk,n/a,API reference page
/python-sdk/fastmcp-cli-cli,python-sdk,python-sdk,n/a,API reference page
/python-sdk/fastmcp-cli-client,python-sdk,python-sdk,n/a,API reference page
/python-sdk/fastmcp-cli-discovery,python-sdk,python-sdk,n/a,API reference page
/python-sdk/fastmcp-cli-generate,python-sdk,python-sdk,n/a,API reference page
/python-sdk/fastmcp-cli-install-__init__,python-sdk,python-sdk,n/a,API reference page
/python-sdk/fastmcp-cli-install-claude_code,python-sdk,python-sdk,n/a,API reference page
/python-sdk/fastmcp-cli-install-claude_desktop,python-sdk,python-sdk,n/a,API reference page
/python-sdk/fastmcp-cli-install-cursor,python-sdk,python-sdk,n/a,API reference page
